claim_id,date,claim_product_line,claim_product,client_segment,client_location,client_sex,client_age,body,label
102,2016/2/15,Jelly,fruit jelly,Silver Card Member,Bronx,Male,40,The inside of the container was a cloudy yellow.,change_of_properties
103,2016/2/15,Jelly,fruit jelly,Not Member,Manhattan,Female,50,There was nothing inside.,amount.empty
104,2016/2/15,N/A,N/A,Not Member,Queens,Male,40,I like to buy snacks made by ABCDE confectionery company. Do you use any genetically modified ingredients?,ingredient.gm_foods
105,2016/2/16,Jelly,mint jelly,Silver Card Member,Brooklyn,Female,60,"I got a bag of mint jelly at my local PQRST supermarket, but there was something like a piece of thread inside the bag.",contamination_tampering
106,2016/2/16,Minerals,minerals,Silver Card Member,Bronx,Male,70,The bottle won't open up since the cap is too tight.,package_container
107,2016/2/16,Tea,lemon tea,Silver Card Member,Manhattan,Female,20, the straw was peeled off from the container.,package_container
108,2016/2/17,Muffin,muffin,Silver Card Member,Queens,Male,20,The muffin was growing mold even before the expiration date. Isn't this a problem?,change_of_properties
109,2016/2/17,N/A,N/A,N/A,N/A,N/A,N/A,Hung-up call.,other
110,2016/2/17,Ice cream,chocolate ice cream,Not Member,Manhattan,Male,30,When are you going to raise the price on the ice cream?,price.raise_of_price
111,2016/2/18,Juice,pine juice,Silver Card Member,Queens,Female,20,There was a dark clump at the bottom of the juice bottle.,package_container
112,2016/2/19,Chocolate,milk chocolate,Silver Card Member,Brooklyn,Male,50,"When I checked carefully, the bag looked like it was already opened.",prank
113,2016/2/20,Jelly,fruit jelly,Silver Card Member,Bronx,Female,30,One cup of mint jelly missing from a 12-pack.,amount.shortage
114,2016/2/20,Juice,orange juice,Silver Card Member,Manhattan,Male,60,Some juice leaked from the bottom of the juice pack!,package_container.leak
115,2016/2/21,Jelly,fruit jelly,Silver Card Member,Manhattan,Female,40,I am allergic to kiwis.  Is this safe to eat?,ingredient.allergy
116,2016/2/21,Ice cream,chocolate ice cream,Silver Card Member,Manhattan,Male,50,The inside of the cup was dirty.,package_container.dirt
117,2016/2/21,Tea,lemon tea,Golden Card Member,Queens,Female,20,There was no straw attached.,package_container
118,2016/2/21,Chocolate,chocolate,Golden Card Member,Brooklyn,Male,60,"When I looked closely, it seemed that the bag was already opened.",prank
119,2016/2/22,Chocolate,milk chocolate,Silver Card Member,Bronx,Female,30,"I've never called a customer service line before. I frequently buy chocolate made by ABCDE confectionery company, but this time I found some hair inside the bag.",contamination_tampering
120,2016/2/22,Jelly,mint jelly,Silver Card Member,Manhattan,Male,70, Two cups of jelly missing from a dozen-pack.,amount.shortage
121,2016/2/24,Jelly,mint jelly,Not Member,Bronx,Female,30, The inside of the jelly container was a cloudy white.,change_of_properties
122,2016/2/24,Pastry,pastry,Silver Card Member,Manhattan,Male,20,There is very little jam in this jam bun.,amount.shortage
123,2016/2/24,Ice cream,vanilla ice cream,Silver Card Member,Queens,Female,30,I felt that there was a bitter taste. Is it just me?,other
124,2016/2/25,Ice cream,vanilla ice cream,Silver Card Member,Brooklyn,Male,30, there was no spoon attached.,package_container
125,2016/2/26,Chocolate,milk chocolate,Silver Card Member,Bronx,Female,40,"I got some chocolate at my local PQRST supermarket, but I found some hair inside the bag.",contamination_tampering
126,2016/2/26,Tea,lemon tea,Silver Card Member,Manhattan,Male,70," The contents leaked, when I was holding an unopened pack.",package_container.leak
127,2016/2/26,Ice cream,chocolate ice cream,Silver Card Member,Bronx,Female,50,There was a strange sour smell.,other
128,2016/2/26,Jelly,fruit jelly,Golden Card Member,Queens,Male,50,The fruit jelly had a moldy odor.,change_of_properties
129,2016/2/27,Juice,pine juice,Golden Card Member,Queens,Female,40,There was a clump at the bottom of the juice bottle. I have saved the bottle without drinking it.,package_container
130,2016/2/27,Ice cream,vanilla ice cream,Silver Card Member,Brooklyn,Male,40,"The vanilla ice cream tasted bitter. I bought it yesterday, and the date hasn't expired yet.",other
131,2016/2/28,Ice cream,vanilla ice cream,Silver Card Member,Bronx,Female,60,The inside of the container was dirty!,package_container.dirt
132,2016/2/29,Juice,apple juice (bottle),Not Member,Manhattan,Male,70, I think the bottle cap is on too tight.,package_container
133,2016/3/1,Jelly,mint jelly,Silver Card Member,Bronx,Female,40,"I got some mint jelly, but there was more in the package than it said on the label.",amount.excess
134,2016/3/1,Jelly,mint jelly,Silver Card Member,Manhattan,Male,50," When I checked carefully, there was a deep cut in the inside of the container.",package_container.torn
135,2016/3/2,Jelly,mint jelly,Silver Card Member,Queens,Female,20,The inside of the container was a cloudy white.,change_of_properties
136,2016/3/2,Jelly,fruit jelly,Silver Card Member,Brooklyn,Male,50, I found something like hair inside the bag.,contamination_tampering
137,2016/3/2,Jelly,fruit jelly,Silver Card Member,Bronx,Female,30,"The expiration date for the jello was passed, but is it safe to eat?",expiration_date
138,2016/3/2,Juice,apple juice (bottle),Silver Card Member,Manhattan,Male,60,"I like to buy apple juice, but the cap loosens up.",package_container
139,2016/3/2,Minerals,minerals,Golden Card Member,Bronx,Female,40,"I frequently buy fruit mix juice, but the bottle cap loosens up easily.",package_container
140,2016/3/2,Coffee,black coffee,Golden Card Member,Manhattan,Male,40,"I bought pine juice for my daughter, but when I was holding an unopened pack, the contents leaked from the bottom. Is it safe?",package_container.leak
141,2016/3/2,Juice,pine juice,Silver Card Member,Queens,Female,40, The contents were leaking.,package_container.leak
142,2016/3/4,Juice,pine juice,Silver Card Member,Queens,Male,50, There was a dark clump at the bottom of the juice bottle.,package_container
143,2016/3/4,Juice,apple juice,Not Member,Bronx,Female,20,I like to buy snacks and juice made by ABCDE confectionery company. Do you use any GM foods?,ingredient.gm_foods
144,2016/3/5,Muffin,muffin,Silver Card Member,Manhattan,Male,60,There was a strong sour smell. Should I bring it back to the store?,other
145,2016/3/6,Jelly,mint jelly,Silver Card Member,Bronx,Female,30,There was something like a piece of thread inside the bag.,contamination_tampering
146,2016/3/6,Juice,orange juice,Silver Card Member,Manhattan,Male,50,It looked like there was a leak on the outside of the pack.,package_container.leak
147,2016/3/7,Chocolate,chocolate,Silver Card Member,Queens,Female,60,"I bought chocolate for my child, but there was a lot more that was indicated on the package. Isn't this a problem?",amount.excess
148,2016/3/8,Minerals,minerals,Silver Card Member,Brooklyn,Male,70,"I like to buy apple juice, but the cap of the bottle loosens up easily.",package_container
149,2016/3/9,Pastry,pastry,Silver Card Member,Bronx,Female,50,"The expiration date for the pastry was passed, but is it okay to eat?",expiration_date
150,2016/3/9,Ice cream,chocolate ice cream,Golden Card Member,Manhattan,Male,40,This is my first time calling. The inside of the container was dirty!,package_container.dirt
151,2016/3/9,Ice cream,vanilla ice cream,Golden Card Member,Bronx,Female,40,There was no spoon attached.,package_container
152,2016/3/10,Juice,apple juice,Silver Card Member,Queens,Male,20,There is a chunk of settlement at the bottom of the juice bottle. I have saved the bottle without drinking it.,package_container
153,2016/3/10,Muffin,muffin,Silver Card Member,Queens,Female,50,"There was a piece of plastic inside the muffin, and I accidentally ate it.",contamination_tampering
154,2016/3/10,Jelly,mint jelly,Not Member,Brooklyn,Male,30,"I frequently buy jelly from ABCDE confectionery company, but this time there were one cup missing from the dozen pack.",amount.shortage
155,2016/3/10,Juice,pine juice,Silver Card Member,Bronx,Female,40,"I bought pine juice yesterday, but it had a sour odor.",other
156,2016/3/11,Jelly,fruit jelly,Silver Card Member,Manhattan,Male,40," I bought some fruit jelly, but there was nothing inside.",amount.empty
157,2016/3/12,Juice,orange juice,Silver Card Member,Bronx,Female,20,"I frequently buy juice made by ABCDE confectionery company, but this time some juice leaked from the top of the juice pack.",package_container.leak
158,2016/3/13,Ice cream,vanilla ice cream,Silver Card Member,Manhattan,Male,20,I am allergic to milk.  Is this safe to eat?,ingredient.allergy
159,2016/3/14,Ice cream,vanilla ice cream,Silver Card Member,Manhattan,Female,50,My daughter is allergic to eggs.  Is this safe to eat?,ingredient.allergy
160,2016/3/14,Juice,peach juice,Silver Card Member,Brooklyn,Male,20,The contents were leaking from a bottle of peach juice since there was a crack in it.,package_container
161,2016/3/15,Ice cream,chocolate ice cream,Golden Card Member,Queens,Female,60,I found a dark clump in the cup of ice cream.,change_of_properties
162,2016/3/15,Chocolate,chocolate,Golden Card Member,Manhattan,Male,20," I bought some chocolate, but there was nothing inside.",amount.empty
163,2016/3/16,Jelly,fruit jelly,Silver Card Member,Bronx,Female,40, There was something that looked like a nail inside the jelly bag.,contamination_tampering
164,2016/3/16,Juice,orange juice,Silver Card Member,Manhattan,Male,30,"This is my first time calling. When I was holding an unopened juice pack, the contents leaked from the bottom. Is it safe to drink?",package_container.leak
165,2016/3/17,Juice,peach juice,Silver Card Member,Queens,Female,30,Leaking / the hole for the straw.,package_container
166,2016/3/17,Tea,lemon tea,Silver Card Member,Brooklyn,Male,70,"I frequently buy juice made by ABCDE confectionery company, but this time the straw was peeled off from the container.",package_container
167,2016/3/18,Ice cream,chocolate ice cream,Golden Card Member,Bronx,Female,30,"I purchase some ice cream at a nearby supermarket, but there was something like a piece of thread inside the cup.",contamination_tampering
168,2016/3/18,Ice cream,chocolate ice cream,Golden Card Member,Manhattan,Male,50,There were only four cups in the 6-pack.,amount.shortage
169,2016/3/18,N/A,N/A,N/A,N/A,N/A,N/A,Crank call.,other
170,2016/3/18,Jelly,fruit jelly,Silver Card Member,Bronx,Male,20,There was a bruise in the inside of the container.,package_container.torn
171,2016/3/18,Juice,apple juice,Silver Card Member,Queens,Female,40,"I frequently buy apple juice at a nearby supermarket, but this time the contents were leaking from the bottom of the juice pack.",package_container.leak
172,2016/3/18,Minerals,minerals,Silver Card Member,Manhattan,Male,30, Don't you think the bottle is bigger than it needs to be?,package_container
173,2016/3/19,Juice,orange juice,Golden Card Member,Bronx,Female,40,"I left the pack in the fridge for about two days without opening the lid, but the contents were leaking from the top the pack.",package_container.leak
174,2016/3/19,Juice,orange juice,Golden Card Member,Brooklyn,Male,50,Some juice leaked from the top of the juice pack.,package_container.leak
175,2016/3/20,Ice cream,chocolate ice cream,Silver Card Member,Bronx,Female,30,There were three cups of ice cream missing from a 6-pack.,amount.shortage
176,2016/3/20,Ice cream,vanilla ice cream,Not Member,Manhattan,Male,20, Three cups missing from a half-dozen-pack of ice cream.,amount.shortage
177,2016/3/20,N/A,N/A,N/A,N/A,N/A,N/A,Hung-up call,other
178,2016/3/20,Juice,orange juice,Not Member,Queens,Male,60,The contents were leaking from the straw hole of the juice pack.,package_container
179,2016/3/21,Tea,lemon tea,Silver Card Member,Brooklyn,Female,70,This is my first time calling. There is a trace of a leak on the outside of the package.,package_container.leak
180,2016/3/22,Ice cream,chocolate ice cream,Silver Card Member,Manhattan,Male,30,My son is allergic to eggs. Is this okay to eat?,ingredient.allergy
181,2016/3/22,Ice cream,vanilla ice cream,Silver Card Member,Manhattan,Female,40,"In a half-dozen pack of vanilla ice cream, I could only find 4 of them.",amount.shortage
182,2016/3/22,Ice cream,chocolate ice cream,Silver Card Member,Bronx,Male,30,There was a bruise in the inside of the cup.,package_container.torn
183,2016/3/23,Ice cream,chocolate ice cream,Silver Card Member,Manhattan,Female,40,My baby is allergic to milk.  Is this okay to eat?,ingredient.allergy
184,2016/3/23,Tea,lemon tea,Silver Card Member,Manhattan,Male,50,The straw was peeled off from the container.,package_container
185,2016/3/24,Pastry,pastry,Golden Card Member,Queens,Female,40,After buying some pastry I found a bug inside a bag!!  Get me your manager!,contamination_tampering
186,2016/3/24,Juice,orange juice,Golden Card Member,Brooklyn,Male,40,The contents were leaking from the top of the juice pack.,package_container.leak
187,2016/3/24,Chocolate,chocolate muffin,Silver Card Member,Bronx,Female,50,The bag was already torn. Is it safe?,package_container.torn
188,2016/3/24,Juice,orange juice,Silver Card Member,Manhattan,Male,60,It is my first time calling. There was a strong sour smell.,other
189,2016/3/25,N/A,mini cake,Golden Card Member,Bronx,Female,50,When the new mini cake will be on sale?,production_plan.new_product
190,2016/3/26,Minerals,minerals,Silver Card Member,Manhattan,Male,70, I wish that you could see through the bottle to know how much is left.,package_container
191,2016/3/26,Ice cream,chocolate ice cream,Golden Card Member,Queens,Female,40,The spoon was detached.,package_container
192,2016/3/27,Ice cream,vanilla ice cream,Golden Card Member,Brooklyn,Male,60,This is my first time calling. The inside of the container was dirty!,package_container.dirt
193,2016/3/27,Ice cream,vanilla ice cream,Not Member,Bronx,Female,20,The pastry tasted quite sour. The date hadn't expired yet. Is it safe?,other
194,2016/3/28,N/A,N/A,N/A,N/A,N/A,N/A,Crank call.,other
195,2016/3/28,Juice,pine juice,Not Member,Manhattan,Female,40,Some juice leaked from the bottom of the juice pack.,package_container.leak
196,2016/3/28,Jelly,mint jelly,Silver Card Member,Bronx,Male,20,It seems like the wrapper was cut by a knife or something.,prank
197,2016/3/28,Ice cream,strawberry ice cream,Silver Card Member,Bronx,Female,50,Could you tell me when the new strawberry ice cream will be on sale?,production_plan.new_product
198,2016/3/30,Ice cream,vanilla ice cream,Silver Card Member,Brooklyn,Male,60,It tasted a bit more sour than when I had it the last time. Is it okay?,other
199,2016/3/31,Ice cream,vanilla ice cream,Silver Card Member,Bronx,Female,30,"I always buy vanilla ice cream, but it was only half full.",amount.shortage
200,2016/3/31,Juice,apple juice,Silver Card Member,Brooklyn,Male,50,"There was a crack in the bottle of pine juice, so the contents were leaking.",package_container.leak
201,2016/3/31,Ice cream,vanilla ice cream,Silver Card Member,Manhattan,Female,40,Are you really going to raise the price on the vanilla ice cream?,price.raise_of_price
202,2016/4/1,Jelly,mint jelly,Golden Card Member,Queens,Male,40,The inside of the cup was dirty.,package_container.dirt
203,2016/4/1,Jelly,mint jelly,Golden Card Member,Brooklyn,Female,50," When I looked closely, I found the bag torn.",package_container.torn
204,2016/4/1,Cookie,cookie,Silver Card Member,Bronx,Male,50,I frequently buy cookie made by ABCDE confectionery company. When are you going to stop selling the cookie?,production_plan.end_of_sale
205,2016/4/2,Ice cream,chocolate ice cream,Silver Card Member,Manhattan,Female,60,There was something like a piece of thread inside the cup of ice cream.,contamination_tampering
