"ID","Gender","Status","Children","Est.Income","Car.Owner","Age","International","Local","Paymethod","LocalBilltype","LongDistanceBilltype","Usage","RatePlan","ValidLongDistance","Dropped","IncomeGroup","CallerType"
40,"F","S",0,28589.1,"N",15.6,0,87.09,"CC","FreeLocal","Standard",100.28,4,47,2,"Income_Group_2","Domestic"
42,"F","M",2,5237.63,"N",48.753333,8.05,56.64,"CC","Budget","Standard",78.02,2,48,1,"Income_Group_1","Both"
45,"M","S",2,89459.9,"N",53.28,1.61,22.9,"CC","FreeLocal","Standard",36.05,2,27,3,"","Both"
48,"F","S",1,13576.5,"N",39.426667,0,25.66,"CC","Budget","Standard",40.49,1,61,2,"Income_Group_1","Domestic"
52,"F","M",2,67388,"N",53.12,0.5,91.04,"CC","Budget","Standard",96.33,3,258,6,"Income_Group_4","Both"
53,"F","M",1,57063,"Y",52.333333,0,81.3,"CH","Budget","Standard",98.1,4,77,0,"Income_Group_4","Domestic"
54,"F","M",2,84166.1,"N",54.013333,0,11.74,"CC","Budget","Standard",15.02,2,242,1,"","Domestic"
60,"F","S",1,7737.94,"N",42.666667,0,50.84,"CC","FreeLocal","Standard",61.9,4,25,0,"Income_Group_1","Domestic"
61,"M","S",2,100020,"N",50,0,293.24,"CH","Budget","Standard",314.62,4,136,2,"Income_Group_5","Domestic"
62,"F","M",2,45287.6,"Y",29.026667,0,2.97,"CC","Budget","Standard",2.97,3,1,6,"Income_Group_2","Domestic"
63,"F","M",2,59613.1,"N",34.32,0,163.41,"CC","Budget","Intnl_discount",175.78,1,39,1,"Income_Group_4","Domestic"
65,"F","S",1,16326.7,"N",50.613333,0,1.34,"CC","FreeLocal","Intnl_discount",1.34,1,1,1,"Income_Group_1","Domestic"
68,"F","S",2,9559.78,"N",51.38,0,59.59,"CC","FreeLocal","Standard",77.91,3,90,1,"Income_Group_1","Domestic"
71,"F","M",2,42031.8,"N",50.753333,0,39.33,"CH","Budget","Intnl_discount",59.78,4,122,2,"Income_Group_2","Domestic"
73,"F","M",2,83284.1,"Y",28.42,0,9.04,"Auto","FreeLocal","Intnl_discount",35.96,4,196,1,"","Domestic"
74,"M","M",1,39229.1,"N",26.26,4.74,13.53,"CC","Budget","Intnl_discount",47.1,4,217,1,"Income_Group_2","Both"
75,"F","S",0,68427.4,"N",42.393333,0,50.05,"Auto","FreeLocal","Standard",73.81,3,170,8,"Income_Group_4","Domestic"
77,"M","S",0,3601.71,"N",49.266667,4.19,111.84,"Auto","Budget","Intnl_discount",125.6,4,310,1,"Income_Group_1","Both"
78,"F","M",0,72642.6,"N",27.646667,0,20.34,"CH","FreeLocal","Intnl_discount",39,4,93,2,"","Domestic"
79,"F","S",0,98716.3,"N",55.66,8.23,13.92,"CC","FreeLocal","Standard",43.13,4,131,1,"Income_Group_5","Both"
80,"F","S",2,66182.7,"Y",62.48,0,47.17,"Auto","Budget","Standard",58.87,2,32,0,"Income_Group_4","Domestic"
81,"F","M",2,84789.3,"N",50.433333,8.8,10.45,"CH","FreeLocal","Standard",33.47,4,57,0,"","Both"
83,"F","M",2,35976.5,"Y",48.853333,0,31.78,"Auto","FreeLocal","Intnl_discount",50.63,4,94,0,"Income_Group_2","Domestic"
84,"F","M",0,32703.1,"Y",64.92,0,56.09,"CC","Budget","Intnl_discount",72.89,4,78,0,"Income_Group_2","Domestic"
85,"F","M",1,77129.1,"Y",61.846667,0,20.07,"CH","FreeLocal","Intnl_discount",44.85,4,176,0,"","Domestic"
86,"F","M",2,8204.72,"N",52.973333,0,24.19,"CH","FreeLocal","Standard",39.79,3,67,0,"Income_Group_1","Domestic"
87,"M","M",1,97180.4,"N",50.6,9.63,45.66,"CC","FreeLocal","Standard",63.51,4,299,0,"Income_Group_5","Both"
88,"F","M",0,80405.1,"N",60.226667,8.95,17.11,"CC","FreeLocal","Standard",28.98,4,116,0,"","Both"
89,"F","S",2,38280,"N",33.74,0,74.97,"Auto","FreeLocal","Intnl_discount",86.61,4,31,0,"Income_Group_2","Domestic"
90,"M","S",0,64136.6,"Y",61.106667,1,125.15,"CC","FreeLocal","Intnl_discount",142.37,2,74,0,"Income_Group_4","Both"
92,"F","M",2,45429.7,"Y",61.713333,0,73.04,"CH","FreeLocal","Standard",97.74,2,175,0,"Income_Group_2","Domestic"
94,"F","S",0,25285.5,"N",53.986667,0,11.93,"CC","FreeLocal","Standard",21.3,1,308,0,"Income_Group_2","Domestic"
95,"F","M",2,77551.1,"Y",33.6,0,41.89,"CC","Budget","Intnl_discount",62.42,2,123,2,"","Domestic"
96,"F","M",0,38538.4,"N",12.326667,8.32,16.48,"CC","FreeLocal","Standard",47.66,3,160,0,"Income_Group_2","Both"
97,"F","S",0,69350.5,"Y",57.42,0,25.95,"CC","FreeLocal","Standard",27.86,4,18,0,"Income_Group_4","Domestic"
104,"M","S",2,43634.5,"N",21.78,9.42,104.64,"CC","Budget","Standard",143.5,1,226,0,"Income_Group_2","Both"
108,"F","S",1,13109.1,"N",62.606667,0,40.48,"Auto","Budget","Standard",62.87,1,151,0,"Income_Group_1","Domestic"
109,"M","S",1,92647.5,"N",56.046667,5.74,10.34,"CC","Budget","Standard",32.13,4,71,0,"","Both"
110,"F","S",2,21021.6,"Y",62.753333,0,11.19,"CC","Budget","Standard",14.95,3,13,0,"Income_Group_1","Domestic"
111,"M","S",0,74460.7,"Y",55.34,0.99,179.93,"CC","FreeLocal","Standard",206.46,2,181,0,"","Both"
114,"F","S",2,28787.4,"N",41.666667,0,58.09,"Auto","Budget","Standard",86.06,2,207,0,"Income_Group_2","Domestic"
117,"M","M",1,13091.6,"N",59.126667,0,20.26,"CC","Budget","Intnl_discount",43.06,2,158,0,"Income_Group_1","Domestic"
120,"F","M",2,62061.8,"Y",45.92,0,52.22,"Auto","FreeLocal","Standard",82.08,2,234,0,"Income_Group_4","Domestic"
121,"F","M",1,20550.9,"Y",22.12,0.86,57.06,"CC","Budget","Standard",85.64,3,205,0,"Income_Group_1","Both"
124,"M","M",2,1765.41,"N",18.766667,0,44.95,"CC","FreeLocal","Standard",47.99,4,241,1,"Income_Group_1","Domestic"
127,"F","S",2,19131.1,"N",56.186667,0,34.91,"Auto","Budget","Standard",57.07,2,147,1,"Income_Group_1","Domestic"
130,"F","S",2,83073.7,"N",39.553333,0,3.2,"CC","Budget","Standard",3.2,4,1,8,"","Domestic"
133,"M","M",2,42750.3,"Y",50.493333,1.97,112.4,"Auto","Budget","Intnl_discount",134.97,1,124,1,"Income_Group_2","Both"
136,"M","M",2,22358.1,"N",52.626667,1.52,12.19,"CC","Budget","Standard",29.25,1,66,1,"Income_Group_1","Both"
138,"M","M",0,47870.8,"Y",27.26,1.17,12.48,"CC","FreeLocal","Standard",13.82,2,104,0,"Income_Group_2","Both"
139,"F","S",2,6440.46,"Y",52.646667,0,27.2,"CH","Budget","Standard",49.86,1,157,0,"Income_Group_1","Domestic"
140,"F","S",0,7325.5,"N",36.92,0,161.54,"CC","FreeLocal","Intnl_discount",190.06,2,215,0,"Income_Group_1","Domestic"
142,"M","M",2,28766.9,"N",46.84,0,58.08,"CC","Budget","Standard",64.2,1,276,0,"Income_Group_2","Domestic"
148,"M","M",2,91272.2,"Y",25.033333,0,13.01,"CC","FreeLocal","Standard",40,3,197,0,"","Domestic"
154,"M","S",0,65000,"Y",45.653333,9.7,115.66,"Auto","FreeLocal","Intnl_discount",137,4,30,1,"Income_Group_4","Both"
158,"M","M",2,1406.05,"Y",19.306667,0,15.17,"CC","Budget","Standard",26.72,1,28,0,"Income_Group_1","Domestic"
160,"F","S",0,73228.3,"N",62,0,28.11,"Auto","Budget","Standard",50.58,4,155,0,"","Domestic"
161,"F","S",2,76231.9,"N",63.806667,0,150.75,"Auto","FreeLocal","Standard",152.76,2,105,0,"","Domestic"
166,"M","M",1,64792.3,"N",52.146667,1.51,36.84,"CH","FreeLocal","Standard",51.41,3,46,0,"Income_Group_4","Both"
169,"F","S",0,93322.1,"Y",40.313333,0,8.79,"CH","Budget","Intnl_discount",38.72,1,235,0,"","Domestic"
174,"M","M",1,63437.3,"N",63.653333,3.35,10.94,"CC","Budget","Intnl_discount",14.98,4,9,3,"Income_Group_4","Both"
178,"M","M",2,49910.7,"Y",51.52,0,23.72,"CC","Budget","Standard",51.14,3,202,2,"Income_Group_4","Domestic"
180,"M","M",0,76161.4,"Y",44.573333,0,25.58,"CC","FreeLocal","Standard",37.55,4,36,5,"","Domestic"
181,"F","M",2,55860,"Y",14.573333,0,10.35,"CC","FreeLocal","Intnl_discount",26.37,3,69,0,"Income_Group_4","Domestic"
182,"F","S",1,12686,"N",64.8,0,80.64,"Auto","Budget","Standard",103.88,2,165,0,"Income_Group_1","Domestic"
190,"M","M",2,57360.8,"Y",53.253333,0,57.25,"CC","FreeLocal","Standard",67.61,1,20,0,"Income_Group_4","Domestic"
191,"M","M",0,92414.7,"Y",45.513333,0,10.62,"CC","FreeLocal","Standard",40.06,4,225,2,"","Domestic"
192,"M","M",1,60102.7,"N",42.14,0,62.44,"CH","FreeLocal","Standard",72.29,3,313,7,"Income_Group_4","Domestic"
194,"F","M",2,17888.7,"N",55,0,332.46,"CC","Budget","Standard",361.88,1,224,1,"Income_Group_1","Domestic"
195,"F","S",1,12526.3,"N",53.553333,0,28.86,"CC","FreeLocal","Intnl_discount",40.59,2,33,1,"Income_Group_1","Domestic"
198,"F","S",2,14578.8,"Y",60.933333,0,95.1,"Auto","Budget","Standard",107.02,1,35,1,"Income_Group_1","Domestic"
201,"M","M",0,78572.2,"Y",42.346667,0,29.28,"CC","FreeLocal","Standard",51.09,4,142,3,"","Domestic"
203,"F","M",2,48238.8,"N",34.706667,0,168.03,"CC","FreeLocal","Standard",191.32,4,166,1,"Income_Group_4","Domestic"
205,"F","M",0,28770.9,"N",12.34,5.32,16.27,"CH","FreeLocal","Standard",49.6,4,208,1,"Income_Group_2","Both"
206,"F","M",2,87578.2,"Y",53.366667,0,22.15,"CC","Budget","Standard",22.44,1,4,8,"","Domestic"
207,"F","M",2,86695.4,"N",13.906667,0,32.09,"CC","FreeLocal","Standard",58.03,2,185,1,"","Domestic"
209,"F","S",2,76791.2,"N",61,0,23,"CC","Budget","Intnl_discount",43.71,4,125,2,"","Domestic"
213,"F","D",0,30763.8,"Y",14.193333,0,35.85,"CC","Budget","Standard",57.17,4,134,1,"Income_Group_2","Domestic"
214,"F","M",2,3193.6,"N",54.046667,0,114.62,"CH","Budget","Standard",118.82,3,256,4,"Income_Group_1","Domestic"
215,"M","M",1,69680.9,"N",15.846667,0,32.12,"CC","FreeLocal","Intnl_discount",39.8,2,291,2,"Income_Group_4","Domestic"
218,"F","M",0,83287,"N",45.486667,0,90.18,"Auto","FreeLocal","Intnl_discount",119.82,3,229,9,"","Domestic"
219,"M","S",0,2056.06,"Y",18.94,6.98,27.75,"Auto","Budget","Standard",58.8,2,171,0,"Income_Group_1","Both"
220,"F","M",2,7776.6,"N",35.706667,0,68.33,"CC","FreeLocal","Standard",94.2,4,184,0,"Income_Group_1","Domestic"
221,"M","M",1,2067.82,"N",47.853333,0,70.65,"CC","Budget","Intnl_discount",85.9,4,63,0,"Income_Group_1","Domestic"
222,"M","S",0,66666,"N",52,7.66,8.49,"CH","Budget","Standard",20.74,1,257,2,"Income_Group_4","Both"
224,"F","M",2,69343.3,"N",42.166667,0,15.54,"CC","FreeLocal","Standard",21.91,2,278,6,"Income_Group_4","Domestic"
225,"F","M",0,77000,"N",55,0,23.89,"Auto","Budget","Standard",24.46,4,8,3,"","Domestic"
228,"F","M",0,14932.5,"N",52,0,6.5,"CC","Budget","Intnl_discount",11.42,1,259,1,"Income_Group_1","Domestic"
229,"F","S",0,27498.1,"N",42,0,9.88,"CC","Budget","Intnl_discount",12.08,4,108,1,"Income_Group_2","Domestic"
231,"F","M",2,21419.9,"N",59.833333,0,103.12,"CC","FreeLocal","Standard",129.51,1,189,2,"Income_Group_1","Domestic"
232,"F","M",2,30665.2,"Y",22.88,8.32,63.28,"Auto","FreeLocal","Standard",77.44,3,272,1,"Income_Group_2","Both"
233,"F","M",1,66000,"Y",63.353333,0,30.95,"Auto","FreeLocal","Intnl_discount",37.04,2,275,1,"Income_Group_4","Domestic"
234,"F","M",2,50561.3,"N",52,0,113.31,"CH","Budget","Standard",129.91,2,76,9,"Income_Group_4","Domestic"
236,"F","S",2,23464,"Y",70,0,41.71,"CC","Budget","Intnl_discount",64.14,3,153,1,"Income_Group_1","Domestic"
237,"F","M",2,194.57,"N",42,0,38.95,"CC","FreeLocal","Standard",67.21,4,212,2,"Income_Group_1","Domestic"
238,"F","M",1,98680.4,"Y",55,0,8.85,"CH","FreeLocal","Intnl_discount",26.44,4,88,1,"Income_Group_5","Domestic"
239,"M","M",1,65619.7,"Y",46,0,144.66,"CC","Budget","Standard",158.22,3,51,0,"Income_Group_4","Domestic"
240,"F","M",1,95620.3,"Y",52,0,93.61,"CC","Budget","Standard",104.53,2,24,0,"","Domestic"
241,"F","S",0,85275,"N",47,0,151.61,"Auto","FreeLocal","Intnl_discount",174.09,2,156,0,"","Domestic"
242,"F","M",1,66921.4,"Y",43,0,8.97,"CC","FreeLocal","Intnl_discount",24.67,3,68,0,"Income_Group_4","Domestic"
243,"F","M",1,98453.6,"Y",46,0,11.65,"Auto","FreeLocal","Standard",25.38,3,52,0,"Income_Group_5","Domestic"
244,"F","M",2,94026.8,"Y",27.746667,0,10.62,"CC","FreeLocal","Intnl_discount",35.63,3,178,0,"","Domestic"
246,"F","S",2,57420,"Y",61,0,252.53,"Auto","Budget","Standard",277.72,2,180,1,"Income_Group_4","Domestic"
247,"M","M",0,77000,"N",44,3.73,26.69,"CH","FreeLocal","Standard",34.35,4,247,1,"","Both"
249,"M","M",2,47639.1,"N",48,0,39.62,"CC","Budget","Intnl_discount",57.11,4,86,0,"Income_Group_2","Domestic"
250,"F","M",2,63234.5,"Y",52.36,0,1.16,"CH","FreeLocal","Intnl_discount",1.16,3,1,0,"Income_Group_4","Domestic"
254,"F","M",2,18296.4,"Y",42.626667,0,10.39,"CC","FreeLocal","Standard",10.47,3,2,0,"Income_Group_1","Domestic"
255,"F","S",0,39461,"N",22.226667,0.28,103.52,"CC","FreeLocal","Standard",126.68,4,161,1,"Income_Group_2","Both"
257,"F","S",1,68000,"N",60,0,63.29,"Auto","FreeLocal","Standard",86.12,3,159,1,"Income_Group_4","Domestic"
260,"F","M",2,52957,"Y",39.746667,0,125.52,"CH","FreeLocal","Standard",151.32,2,183,2,"Income_Group_4","Domestic"
261,"F","S",2,86747.1,"N",64.853333,0,37.24,"Auto","Budget","Standard",57.4,3,118,0,"","Domestic"
263,"F","M",1,87404.6,"N",63.186667,0,139.2,"Auto","Budget","Standard",160.84,3,139,0,"","Domestic"
264,"M","S",2,20919,"N",27.886667,4.92,153.36,"CC","FreeLocal","Intnl_discount",164.54,2,277,0,"Income_Group_1","Both"
265,"F","M",2,85394,"Y",20.16,2.02,14.38,"Auto","Budget","Intnl_discount",35.69,4,99,1,"","Both"
266,"F","S",0,2121.36,"N",39.786667,0,36.78,"CC","FreeLocal","Standard",38.8,3,106,1,"Income_Group_1","Domestic"
267,"F","M",2,63566.1,"Y",56.3,0,65.09,"CH","Budget","Intnl_discount",73.03,2,295,0,"Income_Group_4","Domestic"
270,"F","S",0,89813.6,"N",12.846667,1.96,149.26,"CC","FreeLocal","Intnl_discount",166.18,4,62,0,"","Both"
272,"F","M",2,82644.2,"Y",33.493333,0,19.88,"CC","FreeLocal","Intnl_discount",41.85,4,145,0,"","Domestic"
273,"F","S",1,27783.6,"N",14.04,6.53,18.07,"CC","FreeLocal","Standard",29.58,3,260,0,"Income_Group_2","Both"
276,"F","M",2,60485.5,"N",41.666667,0,28.7,"Auto","Budget","Intnl_discount",40.41,1,32,0,"Income_Group_4","Domestic"
279,"F","M",2,809.43,"Y",31.913333,0,2.89,"CH","FreeLocal","Intnl_discount",2.89,1,1,1,"Income_Group_1","Domestic"
280,"M","S",1,76529.8,"N",58.28,5.36,20.05,"CC","Budget","Standard",43.89,1,91,1,"","Both"
281,"F","M",2,34577.7,"N",63.253333,0,116.57,"CH","Budget","Standard",145.75,2,221,11,"Income_Group_2","Domestic"
283,"F","M",0,80000,"N",48,0,45.46,"Auto","Budget","Standard",73.02,3,203,1,"","Domestic"
284,"F","S",2,19008.4,"Y",52.166667,0,137.19,"CC","FreeLocal","Standard",147.74,4,21,2,"Income_Group_1","Domestic"
285,"F","M",0,98056.3,"N",55.966667,0,126.96,"Auto","FreeLocal","Standard",150.67,3,169,1,"Income_Group_5","Domestic"
286,"M","M",0,73400,"Y",64.226667,0,2.21,"CH","Budget","Standard",2.21,4,1,0,"","Domestic"
288,"M","M",0,78894.2,"N",28,1.41,43.23,"CH","Budget","Intnl_discount",46.65,2,104,0,"","Both"
289,"M","S",1,16432.1,"Y",20.92,8.89,80.47,"CH","Budget","Intnl_discount",109.78,1,120,0,"Income_Group_1","Both"
290,"M","M",0,62797.9,"N",54.446667,4.28,55.48,"CH","Budget","Intnl_discount",68.09,1,300,0,"Income_Group_4","Both"
291,"M","S",1,71329.9,"Y",42.233333,3.55,45.92,"CC","Budget","Standard",63.75,3,58,0,"Income_Group_4","Both"
295,"F","S",0,20913.6,"N",53.013333,7.16,65.77,"CC","FreeLocal","Standard",95.93,4,163,0,"Income_Group_1","Both"
298,"F","S",1,540.4,"Y",39.213333,0,7.75,"Auto","Budget","Intnl_discount",20.1,4,38,0,"Income_Group_1","Domestic"
302,"M","M",2,67339.8,"N",17.006667,5.19,48.69,"CC","FreeLocal","Intnl_discount",81.72,2,206,0,"Income_Group_4","Both"
304,"M","M",1,75799.9,"N",46.38,7.02,64.8,"CC","FreeLocal","Intnl_discount",94.06,3,150,0,"","Both"
305,"F","S",2,15688.5,"N",53.06,0,8.03,"CC","Budget","Standard",22.42,4,59,0,"Income_Group_1","Domestic"
306,"F","S",0,43382.3,"N",16.073333,8.76,99.94,"CH","FreeLocal","Standard",138.37,2,230,0,"Income_Group_2","Both"
308,"F","S",0,5185.31,"N",62.053333,5.99,30.51,"CC","FreeLocal","Intnl_discount",52.9,2,75,0,"Income_Group_1","Both"
309,"F","S",0,41000,"N",16.06,0,108.44,"CC","Budget","Standard",134.45,4,187,0,"Income_Group_2","Domestic"
310,"F","S",0,32098,"N",22.433333,8.28,75.27,"CH","Budget","Intnl_discount",106.53,2,162,2,"Income_Group_2","Both"
312,"F","M",2,80087.7,"N",41.92,0,22.82,"CC","FreeLocal","Standard",31.56,4,305,6,"","Domestic"
313,"F","M",2,59691.3,"N",38.04,0,256.7,"CC","Budget","Standard",278.65,2,144,1,"Income_Group_4","Domestic"
315,"F","S",2,11251.1,"Y",61,0,113.48,"CC","FreeLocal","Standard",141.91,2,213,1,"Income_Group_1","Domestic"
317,"M","M",0,70908.7,"N",49.62,4.55,43.2,"CC","FreeLocal","Standard",55.47,4,292,1,"Income_Group_4","Both"
318,"M","S",0,94928.3,"N",40.18,5.61,73.74,"CH","FreeLocal","Standard",93.78,4,60,2,"","Both"
320,"F","M",2,50622.3,"N",40.46,2.07,90.19,"Auto","FreeLocal","Standard",112.72,2,122,1,"Income_Group_4","Both"
322,"M","M",0,78000,"Y",52.266667,4.27,18.84,"CC","FreeLocal","Intnl_discount",39.32,3,73,1,"","Both"
326,"M","M",0,100020,"Y",52.266667,0,62.81,"CH","Budget","Standard",92.37,4,228,8,"Income_Group_5","Domestic"
329,"F","M",1,56722.8,"N",60.593333,6.21,51.17,"CC","FreeLocal","Standard",74.77,2,84,1,"Income_Group_4","Both"
331,"M","M",1,80000,"N",53.213333,0,3.22,"CC","Budget","Intnl_discount",3.22,3,1,2,"","Domestic"
332,"F","S",2,3416.62,"Y",22.76,0,104.73,"CC","Budget","Standard",123.7,4,97,1,"Income_Group_1","Domestic"
333,"F","M",0,73400,"Y",55.633333,0,10.22,"Auto","Budget","Standard",10.39,2,3,0,"","Domestic"
334,"M","M",0,120000,"Y",53.213333,0,25.62,"CC","FreeLocal","Standard",40.9,4,64,0,"Income_Group_5","Domestic"
335,"F","M",2,8032.16,"N",45.666667,0,59.08,"CC","FreeLocal","Standard",88.77,2,231,0,"Income_Group_1","Domestic"
336,"F","S",1,93454.3,"Y",48.533333,0,25.18,"Auto","FreeLocal","Standard",44.13,4,95,0,"","Domestic"
337,"M","M",0,5745,"Y",15.38,0,17.71,"CC","FreeLocal","Standard",44.11,1,190,0,"Income_Group_1","Domestic"
338,"F","S",0,83287,"N",77,7.35,208.19,"Auto","Budget","Standard",215.96,4,6,0,"","Both"
339,"F","S",0,92564.1,"Y",49.133333,0,51.68,"Auto","FreeLocal","Standard",74.86,3,164,0,"","Domestic"
341,"M","S",0,86448.2,"Y",38.133333,3.14,82.19,"CC","Budget","Intnl_discount",90.25,2,259,0,"","Both"
343,"F","M",2,48322.5,"Y",49.333333,0,43.6,"CC","FreeLocal","Standard",50.29,1,279,0,"Income_Group_4","Domestic"
346,"F","M",2,81913.8,"Y",49.66,0,46.33,"CC","FreeLocal","Standard",53.03,1,280,0,"","Domestic"
349,"F","S",0,919.93,"N",38.26,0,93.42,"CH","Budget","Standard",120.71,3,200,0,"Income_Group_1","Domestic"
350,"F","M",2,69486.8,"N",30.946667,0,9.39,"CC","Budget","Standard",17.11,1,293,1,"Income_Group_4","Domestic"
351,"F","M",2,24482.8,"N",33.533333,0,2,"CH","Budget","Intnl_discount",2,4,1,1,"Income_Group_2","Domestic"
353,"F","M",0,14573.6,"N",64.606667,0,236.97,"CC","Budget","Standard",263.58,4,194,0,"Income_Group_1","Domestic"
354,"F","M",2,92103.8,"N",52.153333,0,7.43,"CC","Budget","Standard",14.86,3,288,0,"","Domestic"
355,"F","S",2,8392.14,"Y",36.68,7.33,54.8,"CH","Budget","Intnl_discount",87.16,3,179,0,"Income_Group_1","Both"
356,"F","S",0,17138.2,"N",63.786667,0,84.67,"CC","FreeLocal","Intnl_discount",104.69,3,117,0,"Income_Group_1","Domestic"
358,"F","M",2,47010.1,"N",57.406667,0,164.76,"CC","Budget","Intnl_discount",167.31,1,112,0,"Income_Group_2","Domestic"
360,"F","S",1,67239.4,"N",44.433333,0,53.81,"Auto","FreeLocal","Intnl_discount",66.7,2,45,0,"Income_Group_4","Domestic"
361,"M","M",1,69406.7,"Y",30,7.21,128.1,"CC","FreeLocal","Standard",142.23,2,283,1,"Income_Group_4","Both"
363,"F","M",2,83259.3,"N",50.88,0,4.46,"CC","Budget","Standard",4.46,4,1,0,"","Domestic"
365,"M","S",2,60095.2,"Y",23.313333,0,116.14,"Auto","Budget","Standard",117.85,2,17,0,"Income_Group_4","Domestic"
370,"F","M",2,2185.6,"N",52.513333,0,20.95,"CH","Budget","Standard",28.07,1,286,1,"Income_Group_1","Domestic"
372,"M","M",1,76511.3,"N",62.08,3.46,17.37,"CC","FreeLocal","Standard",42.52,2,141,0,"","Both"
374,"F","M",1,6946.07,"N",23,0,8.84,"CH","FreeLocal","Standard",34.61,2,182,1,"Income_Group_1","Domestic"
375,"F","M",2,11234.7,"Y",49.046667,0,112.72,"CC","Budget","Standard",113.42,3,10,1,"Income_Group_1","Domestic"
377,"F","M",2,36660.9,"Y",39.96,0,3.36,"CH","Budget","Intnl_discount",3.36,1,1,9,"Income_Group_2","Domestic"
379,"F","M",2,68462.8,"N",34.4,5.93,60.51,"CC","FreeLocal","Standard",90.84,2,173,1,"Income_Group_4","Both"
382,"F","M",2,72841.3,"N",47.02,0,72.16,"CC","Budget","Standard",82.53,1,20,2,"","Domestic"
383,"F","M",2,63670.8,"Y",46.146667,0,51.47,"Auto","FreeLocal","Standard",78.87,2,201,1,"Income_Group_4","Domestic"
384,"M","S",0,83287,"N",45.486667,5.24,35.73,"CC","Budget","Standard",70.7,2,232,0,"","Both"
385,"F","S",1,66000,"Y",45.486667,0,100.08,"Auto","Budget","Standard",120.53,1,121,0,"Income_Group_4","Domestic"
386,"M","M",0,12387.6,"N",56.173333,0,65.93,"Auto","FreeLocal","Standard",93.85,2,285,0,"Income_Group_1","Domestic"
388,"F","M",1,82931.3,"N",64.64,0,118,"Auto","FreeLocal","Standard",137.25,2,98,0,"","Domestic"
389,"F","M",2,57483.9,"N",44.026667,0,27.29,"CH","Budget","Standard",44.3,2,80,0,"Income_Group_4","Domestic"
391,"F","S",2,21274,"N",45.526667,0,32.43,"Auto","FreeLocal","Standard",43.31,2,23,0,"Income_Group_1","Domestic"
392,"F","M",2,28267,"N",30.093333,0,192.53,"CC","FreeLocal","Standard",214.41,2,143,0,"Income_Group_2","Domestic"
394,"F","M",2,36725.1,"N",55.793333,9.22,77,"CH","Budget","Standard",94.88,2,304,0,"Income_Group_2","Both"
398,"M","S",1,94188.3,"N",57.546667,0.86,19.78,"CC","Budget","Standard",41.51,2,127,0,"","Both"
401,"F","M",2,91861,"Y",41.98,0,6.74,"CC","Budget","Standard",22.06,3,65,0,"","Domestic"
404,"F","S",1,12374.9,"Y",33.493333,0,106.1,"Auto","FreeLocal","Standard",123.59,3,87,0,"Income_Group_1","Domestic"
405,"F","M",2,69133.9,"Y",26.833333,0,37.73,"CH","FreeLocal","Standard",46.32,2,303,3,"Income_Group_4","Domestic"
407,"F","M",2,84948,"Y",29.446667,0,12.58,"CH","FreeLocal","Intnl_discount",23.73,3,26,2,"","Domestic"
408,"F","M",2,30998.8,"N",40.96,0,50.5,"Auto","Budget","Standard",52.91,2,110,5,"Income_Group_2","Domestic"
